country_iso3	epidemic_period	lineage_group	feature	category	n_category	n_feature_annotated	n_feature_interpretable	n_feature_missing	n_lineage_tree_total	category_percent_of_annotated	category_percent_of_tree_total
CHN	prepandemic	L1_02.07	published_MT_label	MS-MT28	1	2	2	10	12	50	8.33333333333333
CHN	prepandemic	Other_model_lineages	source_ptxP	ptxP1	83	95	95	50	145	87.3684210526316	57.2413793103448
CHN	prepandemic	Other_model_lineages	source_ptxP	MISSING	50	95	95	50	145		34.4827586206897
CHN	prepandemic	Other_model_lineages	source_ptxP	ptxP3	12	95	95	50	145	12.6315789473684	8.27586206896552
CHN	prepandemic	Other_model_lineages	source_fim3	fim3-1	92	94	94	51	145	97.8723404255319	63.448275862069
CHN	prepandemic	Other_model_lineages	source_fim3	MISSING	51	94	94	51	145		35.1724137931034
CHN	prepandemic	Other_model_lineages	source_fim3	fim3-2	1	94	94	51	145	1.06382978723404	0.689655172413793
CHN	prepandemic	Other_model_lineages	source_fim3	fim3-4	1	94	94	51	145	1.06382978723404	0.689655172413793
CHN	prepandemic	Other_model_lineages	source_antigen_profile	ptxP1/fim3-1	82	94	94	51	145	87.2340425531915	56.551724137931
CHN	prepandemic	Other_model_lineages	source_antigen_profile	MISSING	51	94	94	51	145		35.1724137931034
CHN	prepandemic	Other_model_lineages	source_antigen_profile	ptxP3/fim3-1	10	94	94	51	145	10.6382978723404	6.89655172413793
CHN	prepandemic	Other_model_lineages	source_antigen_profile	ptxP1/fim3-4	1	94	94	51	145	1.06382978723404	0.689655172413793
CHN	prepandemic	Other_model_lineages	source_antigen_profile	ptxP3/fim3-2	1	94	94	51	145	1.06382978723404	0.689655172413793
CHN	prepandemic	Other_model_lineages	source_23S_raw	MR_A2047G	79	95	95	50	145	83.1578947368421	54.4827586206897
CHN	prepandemic	Other_model_lineages	source_23S_raw	MISSING	50	95	95	50	145		34.4827586206897
CHN	prepandemic	Other_model_lineages	source_23S_raw	MS	16	95	95	50	145	16.8421052631579	11.0344827586207
CHN	prepandemic	Other_model_lineages	frozen_23S_status	MR_A2047G	79	95	95	50	145	83.1578947368421	54.4827586206897
CHN	prepandemic	Other_model_lineages	frozen_23S_status	MISSING	50	95	95	50	145		34.4827586206897
CHN	prepandemic	Other_model_lineages	frozen_23S_status	MS	16	95	95	50	145	16.8421052631579	11.0344827586207
CHN	prepandemic	Other_model_lineages	frozen_PRN_outcome	non_interpretable	109	145	36	0	145	75.1724137931034	75.1724137931034
CHN	prepandemic	Other_model_lineages	frozen_PRN_outcome	intact	36	145	36	0	145	24.8275862068966	24.8275862068966
CHN	prepandemic	Other_model_lineages	frozen_PRN_mechanism	insufficient_data	107	145	36	0	145	73.7931034482759	73.7931034482759
CHN	prepandemic	Other_model_lineages	frozen_PRN_mechanism	intact	36	145	36	0	145	24.8275862068966	24.8275862068966
CHN	prepandemic	Other_model_lineages	frozen_PRN_mechanism	uncertain_fragmented_assembly	2	145	36	0	145	1.37931034482759	1.37931034482759
CHN	prepandemic	Other_model_lineages	published_MT_label	MISSING	145	0	0	145	145		100
CHN	pandemic	L1_02.07	source_ptxP	ptxP3	22	22	22	19	41	100	53.6585365853659
CHN	pandemic	L1_02.07	source_ptxP	MISSING	19	22	22	19	41		46.3414634146341
CHN	pandemic	L1_02.07	source_fim3	fim3-1	21	21	21	20	41	100	51.219512195122
CHN	pandemic	L1_02.07	source_fim3	MISSING	20	21	21	20	41		48.780487804878
CHN	pandemic	L1_02.07	source_antigen_profile	ptxP3/fim3-1	21	21	21	20	41	100	51.219512195122
CHN	pandemic	L1_02.07	source_antigen_profile	MISSING	20	21	21	20	41		48.780487804878
CHN	pandemic	L1_02.07	source_23S_raw	MISSING	19	22	22	19	41		46.3414634146341
CHN	pandemic	L1_02.07	source_23S_raw	MS	17	22	22	19	41	77.2727272727273	41.4634146341463
CHN	pandemic	L1_02.07	source_23S_raw	MR_A2047G	5	22	22	19	41	22.7272727272727	12.1951219512195
CHN	pandemic	L1_02.07	frozen_23S_status	MISSING	19	22	22	19	41		46.3414634146341
CHN	pandemic	L1_02.07	frozen_23S_status	MS	17	22	22	19	41	77.2727272727273	41.4634146341463
CHN	pandemic	L1_02.07	frozen_23S_status	MR_A2047G	5	22	22	19	41	22.7272727272727	12.1951219512195
CHN	pandemic	L1_02.07	frozen_PRN_outcome	non_interpretable	16	41	25	0	41	39.0243902439024	39.0243902439024
CHN	pandemic	L1_02.07	frozen_PRN_outcome	intact	15	41	25	0	41	36.5853658536585	36.5853658536585
CHN	pandemic	L1_02.07	frozen_PRN_outcome	disrupted	10	41	25	0	41	24.390243902439	24.390243902439
CHN	pandemic	L1_02.07	frozen_PRN_mechanism	insufficient_data	16	41	25	0	41	39.0243902439024	39.0243902439024
CHN	pandemic	L1_02.07	frozen_PRN_mechanism	intact	15	41	25	0	41	36.5853658536585	36.5853658536585
CHN	pandemic	L1_02.07	frozen_PRN_mechanism	coding_disrupted_other	5	41	25	0	41	12.1951219512195	12.1951219512195
CHN	pandemic	L1_02.07	frozen_PRN_mechanism	coding_disrupted_is481	4	41	25	0	41	9.75609756097561	9.75609756097561
CHN	pandemic	L1_02.07	frozen_PRN_mechanism	coding_disrupted_inversion_or_rearrangement	1	41	25	0	41	2.4390243902439	2.4390243902439
CHN	pandemic	L1_02.07	published_MT_label	MISSING	20	21	21	20	41		48.780487804878
CHN	pandemic	L1_02.07	published_MT_label	MR-MT28-PG1	10	21	21	20	41	47.6190476190476	24.390243902439
CHN	pandemic	L1_02.07	published_MT_label	MR-MT28-others	7	21	21	20	41	33.3333333333333	17.0731707317073
CHN	pandemic	L1_02.07	published_MT_label	MR-MT28-PG2	3	21	21	20	41	14.2857142857143	7.31707317073171
CHN	pandemic	L1_02.07	published_MT_label	MS-MT28	1	21	21	20	41	4.76190476190476	2.4390243902439
CHN	pandemic	Other_model_lineages	source_ptxP	ptxP1	29	34	34	3	37	85.2941176470588	78.3783783783784
CHN	pandemic	Other_model_lineages	source_ptxP	ptxP3	5	34	34	3	37	14.7058823529412	13.5135135135135
CHN	pandemic	Other_model_lineages	source_ptxP	MISSING	3	34	34	3	37		8.10810810810811
CHN	pandemic	Other_model_lineages	source_fim3	fim3-1	34	34	34	3	37	100	91.8918918918919
CHN	pandemic	Other_model_lineages	source_fim3	MISSING	3	34	34	3	37		8.10810810810811
CHN	pandemic	Other_model_lineages	source_antigen_profile	ptxP1/fim3-1	29	34	34	3	37	85.2941176470588	78.3783783783784
CHN	pandemic	Other_model_lineages	source_antigen_profile	ptxP3/fim3-1	5	34	34	3	37	14.7058823529412	13.5135135135135
CHN	pandemic	Other_model_lineages	source_antigen_profile	MISSING	3	34	34	3	37		8.10810810810811
CHN	pandemic	Other_model_lineages	source_23S_raw	MS	33	34	34	3	37	97.0588235294118	89.1891891891892
CHN	pandemic	Other_model_lineages	source_23S_raw	MISSING	3	34	34	3	37		8.10810810810811
CHN	pandemic	Other_model_lineages	source_23S_raw	MR_A2047G	1	34	34	3	37	2.94117647058824	2.7027027027027
CHN	pandemic	Other_model_lineages	frozen_23S_status	MS	33	34	34	3	37	97.0588235294118	89.1891891891892
CHN	pandemic	Other_model_lineages	frozen_23S_status	MISSING	3	34	34	3	37		8.10810810810811
CHN	pandemic	Other_model_lineages	frozen_23S_status	MR_A2047G	1	34	34	3	37	2.94117647058824	2.7027027027027
CHN	pandemic	Other_model_lineages	frozen_PRN_outcome	intact	35	37	35	0	37	94.5945945945946	94.5945945945946
