country_iso3	model_month	lineage	mean	median	lower_95	upper_95
CHN	2024-11-01	L1_02.05	0.000171465891637887	4.45527971716678e-05	4.47624119070517e-07	0.00113974933436543
CHN	2024-11-01	L1_02.06	0.000878071487371546	0.000301740523266401	6.69302597064203e-06	0.00519725292169433
CHN	2024-11-01	L1_02.07	0.997707505065315	0.998976399197733	0.987672616639147	0.999956731007329
CHN	2024-11-01	Other	0.000553614999440537	0.000149027279180682	1.39962500520855e-06	0.00349696321913018
CHN	2024-12-01	L1_01.02	0.000645087242598753	0.000148640583532712	2.0965221274053e-06	0.00451035380894261
CHN	2024-12-01	L1_02.05	0.000155903248872629	3.96293939418121e-05	3.6853057366751e-07	0.00104225569838659
CHN	2024-12-01	L1_02.06	0.000787979553141812	0.000263480675617462	5.53546263302387e-06	0.00473677698988354
CHN	2024-12-01	L1_02.07	0.997924092060426	0.9990957590166	0.988711243521607	0.999964021844939
CHN	2024-12-01	Other	0.000486937894960522	0.000126788770757569	1.12077104897665e-06	0.00310521598537858
CHN	2025-01-01	L1_01.02	0.000603991472604602	0.000133199461984105	1.83465028594249e-06	0.00422394234859427
CHN	2025-01-01	L1_02.05	0.000141798473950872	3.4833319288495e-05	3.10348074005626e-07	0.000959686458883269
CHN	2025-01-01	L1_02.06	0.000707369240275496	0.000229250398762251	4.52229636000281e-06	0.00430065757140285
CHN	2025-01-01	L1_02.07	0.998118379112913	0.999202068509071	0.989545664139232	0.999969850046791
CHN	2025-01-01	Other	0.000428461700256265	0.000108097886099201	8.93496863502784e-07	0.00276544482787816
CHN	2025-02-01	L1_01.02	0.00056581210046438	0.000119929222417164	1.60008229571152e-06	0.00403976511840015
CHN	2025-02-01	L1_02.05	0.000129011184286139	3.0863837052604e-05	2.58216000576643e-07	0.000885122875255592
CHN	2025-02-01	L1_02.06	0.000635219964601374	0.000199784350577995	3.72420682483797e-06	0.00391250782840143
CHN	2025-02-01	L1_02.07	0.998292797127123	0.999295433865586	0.990488867787345	0.999974431232522
CHN	2025-02-01	Other	0.000377159623524918	9.19392441248293e-05	7.09900969435056e-07	0.00246662782210143
CHN	2025-03-01	L1_01.02	0.000530325648572382	0.000108033150455043	1.38321697198264e-06	0.00374526800071304
CHN	2025-03-01	L1_02.05	0.000117414805106421	2.7159463176013e-05	2.15281647847799e-07	0.000817815508282846
CHN	2025-03-01	L1_02.06	0.0005706230312252	0.00017397293025145	3.08458381443841e-06	0.00355795433565976
CHN	2025-03-01	L1_02.07	0.998449501218289	0.999378148152097	0.991300661298856	0.999978179158626
CHN	2025-03-01	Other	0.000332135296806796	7.77372415440055e-05	5.68759360830257e-07	0.00219448137027647
CHN	2025-04-01	L1_01.02	0.000497326682822603	9.78114260175062e-05	1.19040127721955e-06	0.00348986875956491
CHN	2025-04-01	L1_02.05	0.00010689519675102	2.39396987638947e-05	1.7921467338425e-07	0.000757936331594052
CHN	2025-04-01	L1_02.06	0.000512769221384778	0.000151527129532013	2.50797813275051e-06	0.00323556047467553
CHN	2025-04-01	L1_02.07	0.998590402856036	0.999453211080479	0.992071457569155	0.999981572555329
CHN	2025-04-01	Other	0.000292606043005758	6.58488527871407e-05	4.51947726247303e-07	0.001949134573831
CHN	2025-05-01	L1_01.02	0.000466626318759558	8.81183960353561e-05	1.0244646147957e-06	0.00328973809767769
CHN	2025-05-01	L1_02.05	9.73494174176389e-05	2.11117683261043e-05	1.49192677092422e-07	0.00070208934776683
CHN	2025-05-01	L1_02.06	0.000460937757730065	0.000132199186292187	2.03349597707098e-06	0.00292461752852856
CHN	2025-05-01	L1_02.07	0.998717198208783	0.99951707020658	0.99273138982863	0.999984433169627
CHN	2025-05-01	Other	0.000257888297310134	5.59698425280358e-05	3.55450245473216e-07	0.00173115358503567
CHN	2025-06-01	L1_01.02	0.000438050849196103	7.98025641722664e-05	8.84762776416761e-07	0.00312222254953323
CHN	2025-06-01	L1_02.05	8.86846083884597e-05	1.85912337035876e-05	1.24282301325941e-07	0.000650490643131578
CHN	2025-06-01	L1_02.06	0.000414486497702692	0.000115398688973602	1.68339779466403e-06	0.00266629067489947
CHN	2025-06-01	L1_02.07	0.998831393137334	0.999574376233174	0.993328770581554	0.999986836526879
CHN	2025-06-01	Other	0.000227384907379267	4.75124302656012e-05	2.79764597307206e-07	0.00153741133081484
CHN	2025-07-01	L1_01.02	0.000411440484487039	7.17613251176471e-05	7.66614972273812e-07	0.00295330509937193
CHN	2025-07-01	L1_02.05	8.0816990063191e-05	1.64723721006468e-05	1.03540947958554e-07	0.000602685750450859
CHN	2025-07-01	L1_02.06	0.000372843220302544	0.000100144237491681	1.39693564468488e-06	0.00243057515529303
CHN	2025-07-01	L1_02.07	0.998934325233913	0.999622738319296	0.993756616108503	0.999988864852988
CHN	2025-07-01	Other	0.000200574071234657	4.04077620228816e-05	2.21746611836934e-07	0.0013705430778409
CHN	2025-08-01	L1_01.02	0.000386648197148946	6.52377649233746e-05	6.54172178159894e-07	0.00279205995232069
CHN	2025-08-01	L1_02.05	7.3670958242833e-05	1.44226342198453e-05	8.63661905084164e-08	0.000544795888717419
CHN	2025-08-01	L1_02.06	0.000335497885696183	8.69138263287219e-05	1.15926992559554e-06	0.00221150159088654
CHN	2025-08-01	L1_02.07	0.999027183256697	0.999665735324494	0.994214716994231	0.999990674879673
CHN	2025-08-01	Other	0.000176999702215108	3.43324316416605e-05	1.75959301069193e-07	0.00121259276603376
CHN	2025-09-01	L1_01.02	0.000363538662967445	5.88907445315581e-05	5.55519401261726e-07	0.00264921546262263
CHN	2025-09-01	L1_02.05	6.71782710659616e-05	1.27374161299602e-05	7.41966458442668e-08	0.000489951919172186
CHN	2025-09-01	L1_02.06	0.000301995759920739	7.56599259791857e-05	9.54450813073111e-07	0.00199282549154573
CHN	2025-09-01	L1_02.07	0.999111024268987	0.999703757572313	0.994685534682872	0.999992079452765
CHN	2025-09-01	Other	0.000156263037058404	2.91493281914368e-05	1.40852466815712e-07	0.00107684737981861
CHN	2025-10-01	L1_01.02	0.000341987290439134	5.31063096818602e-05	4.79021002037979e-07	0.00249900123917353
CHN	2025-10-01	L1_02.05	6.12773171234989e-05	1.12244877110716e-05	6.1724115938109e-08	0.000445017821469701
CHN	2025-10-01	L1_02.06	0.000271931307759416	6.60038906909516e-05	7.80560430419271e-07	0.00179517146282743
CHN	2025-10-01	L1_02.07	0.999186788758811	0.999736588463506	0.995078700316488	0.999993230605792
CHN	2025-10-01	Other	0.000138015325867343	2.46740011294661e-05	1.12336530353876e-07	0.000956218563949706
CHN	2025-11-01	L1_01.02	0.00032187933156278	4.74997764149289e-05	4.09839081900945e-07	0.00236374813658608
CHN	2025-11-01	L1_02.05	5.59124568071464e-05	9.91991502304668e-06	5.13698243371101e-08	0.000408597595365145
CHN	2025-11-01	L1_02.06	0.000244942768032507	5.73903175924563e-05	6.36435156883858e-07	0.00161700824608207
CHN	2025-11-01	L1_02.07	0.999255313979574	0.999765382402445	0.995475402304613	0.999994257173449
CHN	2025-11-01	Other	0.000121951464023933	2.09883588665156e-05	8.93878412376739e-08	0.000848947280427106
CHN	2025-12-01	L1_01.02	0.000303109068376167	4.2638067051764e-05	3.47267833078718e-07	0.00226081747386097
CHN	2025-12-01	L1_02.05	5.10334306121679e-05	8.78571611921075e-06	4.342631263603e-08	0.00037010160001912
CHN	2025-12-01	L1_02.06	0.000220707335856279	5.0034430647878e-05	5.18921902198081e-07	0.00146860118004276
CHN	2025-12-01	L1_02.07	0.999317345720122	0.999791892436851	0.995818495171375	0.999995124310579
CHN	2025-12-01	Other	0.000107804445033534	1.78714037325752e-05	7.14178846011781e-08	0.000750063354741783
JPN	2019-01-01	L1_01.02	0.00939322535523383	0.00453815659361727	1.07543730823536e-05	0.0459707701286755
JPN	2019-01-01	L1_02.05	0.25972417344451	0.256960865714821	0.149851965656138	0.383710267168457
JPN	2019-01-01	L1_02.06	0.18735710250611	0.184439018365492	0.0928612306374224	0.302575619953611
JPN	2019-01-01	L1_02.07	0.0120519652618858	0.00710683465194619	0.000162870701210603	0.0505837795466482
JPN	2019-01-01	Other	0.531473533432261	0.530218904744511	0.395338874220856	0.665465620822958
JPN	2019-02-01	L1_01.02	0.00980220313900528	0.00477385361924298	1.12669344299323e-05	0.0479046775899715
JPN	2019-02-01	L1_02.05	0.265387975733221	0.262372166610885	0.153437568117835	0.39010054963725
JPN	2019-02-01	L1_02.06	0.188913398134125	0.186257476737454	0.0930982311904812	0.305467406312493
JPN	2019-02-01	L1_02.07	0.0138982837649812	0.00827709385148426	0.000191548879695014	0.0581134234094779
JPN	2019-02-01	Other	0.521998139228669	0.520893702865651	0.383744044577208	0.654774935851531
JPN	2019-03-01	L1_01.02	0.0102251955467211	0.00500149256712144	1.16379832233111e-05	0.0505848467226137
JPN	2019-03-01	L1_02.05	0.27102470835687	0.268194683477547	0.156671580821126	0.395150477814304
JPN	2019-03-01	L1_02.06	0.190377451085742	0.187733387095304	0.0929250745970574	0.310269194693669
