country_iso3	model_month	observed_cases	fitted_median	fitted_lower_95	fitted_upper_95	baseline_median	baseline_lower_95	baseline_upper_95	no_new_exposure_median	no_new_exposure_lower_95	no_new_exposure_upper_95	equal_lineage_median	equal_lineage_lower_95	equal_lineage_upper_95	l10207_reference_median	l10207_reference_lower_95	l10207_reference_upper_95
AUS	2023-01-01	46	40.5889518332513	34.8040544754128	47.3142337302268	40.5889518332513	34.8040544754128	47.3142337302268	40.5889518332513	34.8040544754128	47.3142337302268	40.4822058462944	34.5000738829123	47.3752320432333	39.9544266623517	34.0871217518183	46.705519477638
AUS	2023-02-01	34	52.9875340807544	45.6475595950498	61.5936586827646	46.841529024482	34.7237834256749	63.2028644408544	46.841529024482	34.7237834256749	63.2028644408544	46.531659486504	33.9823757551302	63.4013444776412	45.3083156292989	33.3552558184037	61.4735019362676
AUS	2023-03-01	44	40.5145406639979	35.0389437223399	47.0058375876543	55.4988386324665	35.8815456976669	85.9798907812459	55.4988386324665	35.8815456976669	85.9798907812459	54.8895670827355	34.7087974072526	85.8300706149013	52.7784607757412	33.6592358266752	83.1290327248754
AUS	2023-04-01	43	53.7818717852639	46.5204083505482	62.6551651561088	67.5024313331625	38.5945484061964	118.8029226739	67.5024313331625	38.5945484061964	118.8029226739	66.2154020968825	36.4852329482674	120.619057364798	62.8493994524476	35.1789723868733	114.110411288594
AUS	2023-05-01	77	54.2576797685074	46.8469430585532	63.3532122748768	84.1886538943977	42.7336342273323	168.170967276656	84.1886538943977	42.7336342273323	168.170967276656	81.8050062674188	39.6264252456881	171.696332658313	76.9496971975174	37.6824446070953	159.680992219291
AUS	2023-06-01	92	99.2959192697866	85.6197942778792	115.454776678829	108.253303489909	48.7405946863268	247.850943558556	108.253303489909	48.7405946863268	247.850943558556	104.314053284518	43.4306363357419	247.856606664172	96.5233177710132	41.3287782147489	229.8437864259
AUS	2023-07-01	95	121.96113804048	105.406435028919	141.333079650883	142.873153865098	57.5453301482596	365.787076231457	142.873153865098	57.5453301482596	365.787076231457	135.725779419491	49.8646596430651	364.490822548293	124.874653527974	47.0419927665552	328.63422199948
AUS	2023-08-01	156	129.643233775503	112.5794180581	149.507556706319	192.940086567285	70.4240681805538	532.557330745835	192.940086567285	70.4240681805538	532.557330745835	181.270984101193	59.0167896383141	526.972438629569	165.234387563079	54.8288188405865	475.011173822197
AUS	2023-09-01	270	216.548941087687	189.016543588747	249.30479371206	266.944235930944	89.8617009811357	779.958184190923	266.944235930944	89.8617009811357	779.958184190923	245.444592556862	73.5553836622878	768.589682511212	222.254803345787	68.729422240591	681.848987240218
AUS	2023-10-01	367	377.592423189267	331.150876913465	434.018702289964	373.898151434931	117.923775213144	1129.73117832971	373.898151434931	117.923775213144	1129.73117832971	337.541406440759	94.3634702464789	1108.54899058478	303.314021687713	87.1532396928063	991.672652778682
