tree_sample_id	genome_record_id	country_iso3	country_name	collection_lower	collection_upper	collection_upper_effective	temporal_consistency_status	date_resolution	year	month	project_id	run_accession	biosample_accession	assembly_accession	sequence_acquisition	primary_model_lineage_id	display_lineage	epidemic_period	public_date	public_date_source	ena_first_public_date	assembly_release_date	public_route	subnational_location	location_source	location_resolution	nas_snapshot_record_id	lag_from_collection_lower_days	lag_from_collection_upper_days	lag_min_days	lag_max_days	first_post2022_month_above_2019_max	post2022_peak_month	public_lead_to_2019max_threshold_days	public_lead_to_post2022_peak_days	collection_lead_to_2019max_threshold_days	collection_lead_to_post2022_peak_days	country_label
CHN__SAMN43024010	CHN::SAMN43024010	CHN	China	2024-04-22	2024-04-22	2024-04-22	ok	day	2024	4	PRJNA1143937	NA	SAMN43024010	GCA_042611075	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024010	165	165	165	165	2023-08-01	2024-05-01	-430	-156	-265	9	China
CHN__SAMN43024011	CHN::SAMN43024011	CHN	China	2024-04-22	2024-04-22	2024-04-22	ok	day	2024	4	PRJNA1143937	NA	SAMN43024011	GCA_042611065	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024011	165	165	165	165	2023-08-01	2024-05-01	-430	-156	-265	9	China
CHN__SAMN43024012	CHN::SAMN43024012	CHN	China	2024-04-22	2024-04-22	2024-04-22	ok	day	2024	4	PRJNA1143937	NA	SAMN43024012	GCA_042611025	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024012	165	165	165	165	2023-08-01	2024-05-01	-430	-156	-265	9	China
CHN__SAMN43024013	CHN::SAMN43024013	CHN	China	2024-04-23	2024-04-23	2024-04-23	ok	day	2024	4	PRJNA1143937	NA	SAMN43024013	GCA_042611045	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024013	164	164	164	164	2023-08-01	2024-05-01	-430	-156	-266	8	China
CHN__SAMN43024014	CHN::SAMN43024014	CHN	China	2024-04-20	2024-04-20	2024-04-20	ok	day	2024	4	PRJNA1143937	NA	SAMN43024014	GCA_042610965	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024014	167	167	167	167	2023-08-01	2024-05-01	-430	-156	-263	11	China
CHN__SAMN43024015	CHN::SAMN43024015	CHN	China	2024-04-20	2024-04-20	2024-04-20	ok	day	2024	4	PRJNA1143937	NA	SAMN43024015	GCA_042610985	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024015	167	167	167	167	2023-08-01	2024-05-01	-430	-156	-263	11	China
CHN__SAMN43024016	CHN::SAMN43024016	CHN	China	2024-04-29	2024-04-29	2024-04-29	ok	day	2024	4	PRJNA1143937	NA	SAMN43024016	GCA_042610975	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024016	158	158	158	158	2023-08-01	2024-05-01	-430	-156	-272	2	China
CHN__SAMN43024017	CHN::SAMN43024017	CHN	China	2024-05-02	2024-05-02	2024-05-02	ok	day	2024	5	PRJNA1143937	NA	SAMN43024017	GCA_042610945	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024017	155	155	155	155	2023-08-01	2024-05-01	-430	-156	-275	-1	China
CHN__SAMN43024018	CHN::SAMN43024018	CHN	China	2024-05-02	2024-05-02	2024-05-02	ok	day	2024	5	PRJNA1143937	NA	SAMN43024018	GCA_042610925	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024018	155	155	155	155	2023-08-01	2024-05-01	-430	-156	-275	-1	China
CHN__SAMN43024019	CHN::SAMN43024019	CHN	China	2024-05-02	2024-05-02	2024-05-02	ok	day	2024	5	PRJNA1143937	NA	SAMN43024019	GCA_042610855	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024019	155	155	155	155	2023-08-01	2024-05-01	-430	-156	-275	-1	China
CHN__SAMN43024020	CHN::SAMN43024020	CHN	China	2024-05-02	2024-05-02	2024-05-02	ok	day	2024	5	PRJNA1143937	NA	SAMN43024020	GCA_042610865	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024020	155	155	155	155	2023-08-01	2024-05-01	-430	-156	-275	-1	China
CHN__SAMN43024021	CHN::SAMN43024021	CHN	China	2024-05-02	2024-05-02	2024-05-02	ok	day	2024	5	PRJNA1143937	NA	SAMN43024021	GCA_042610875	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024021	155	155	155	155	2023-08-01	2024-05-01	-430	-156	-275	-1	China
CHN__SAMN43024023	CHN::SAMN43024023	CHN	China	2024-05-13	2024-05-13	2024-05-13	ok	day	2024	5	PRJNA1143937	NA	SAMN43024023	GCA_042610825	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024023	144	144	144	144	2023-08-01	2024-05-01	-430	-156	-286	-12	China
CHN__SAMN43024024	CHN::SAMN43024024	CHN	China	2024-05-16	2024-05-16	2024-05-16	ok	day	2024	5	PRJNA1143937	NA	SAMN43024024	GCA_042610775	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024024	141	141	141	141	2023-08-01	2024-05-01	-430	-156	-289	-15	China
CHN__SAMN43024025	CHN::SAMN43024025	CHN	China	2024-05-16	2024-05-16	2024-05-16	ok	day	2024	5	PRJNA1143937	NA	SAMN43024025	GCA_042610795	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024025	141	141	141	141	2023-08-01	2024-05-01	-430	-156	-289	-15	China
CHN__SAMN43024027	CHN::SAMN43024027	CHN	China	2024-06-03	2024-06-03	2024-06-03	ok	day	2024	6	PRJNA1143937	NA	SAMN43024027	GCA_042610755	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024027	123	123	123	123	2023-08-01	2024-05-01	-430	-156	-307	-33	China
CHN__SAMN43024031	CHN::SAMN43024031	CHN	China	2024-05-30	2024-05-30	2024-05-30	ok	day	2024	5	PRJNA1143937	NA	SAMN43024031	GCA_042610645	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Zhejiang	nas_focal_snapshot	subnational	CHN__SAMN43024031	127	127	127	127	2023-08-01	2024-05-01	-430	-156	-303	-29	China
CHN__SAMN43024032	CHN::SAMN43024032	CHN	China	2024-05-01	2024-05-31	2024-05-31	ok	month	2024	5	PRJNA1143937	NA	SAMN43024032	GCA_042610585	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Xinjiang	nas_focal_snapshot	subnational	CHN__SAMN43024032	156	126	126	156	2023-08-01	2024-05-01	-430	-156	-274	0	China
CHN__SAMN43024034	CHN::SAMN43024034	CHN	China	2024-05-01	2024-05-31	2024-05-31	ok	month	2024	5	PRJNA1143937	NA	SAMN43024034	GCA_042610605	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-10-04	ncbi_assembly_release;ncbi_assembly_release	NA	2024-10-04	ncbi_assembly_only	Xinjiang	nas_focal_snapshot	subnational	CHN__SAMN43024034	156	126	126	156	2023-08-01	2024-05-01	-430	-156	-274	0	China
CHN__SAMN44583833	CHN::SAMN44583833	CHN	China	2024-01-18	2024-01-18	2024-01-18	ok	day	2024	1	PRJNA1182239	NA	SAMN44583833	GCA_050978105	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583833	517	517	517	517	2023-08-01	2024-05-01	-687	-413	-170	104	China
CHN__SAMN44583834	CHN::SAMN44583834	CHN	China	2024-01-18	2024-01-18	2024-01-18	ok	day	2024	1	PRJNA1182239	NA	SAMN44583834	GCA_050978065	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583834	517	517	517	517	2023-08-01	2024-05-01	-687	-413	-170	104	China
CHN__SAMN44583835	CHN::SAMN44583835	CHN	China	2024-01-24	2024-01-24	2024-01-24	ok	day	2024	1	PRJNA1182239	NA	SAMN44583835	GCA_050978085	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583835	511	511	511	511	2023-08-01	2024-05-01	-687	-413	-176	98	China
CHN__SAMN44583837	CHN::SAMN44583837	CHN	China	2024-01-25	2024-01-25	2024-01-25	ok	day	2024	1	PRJNA1182239	NA	SAMN44583837	GCA_050978025	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583837	510	510	510	510	2023-08-01	2024-05-01	-687	-413	-177	97	China
CHN__SAMN44583838	CHN::SAMN44583838	CHN	China	2024-01-30	2024-01-30	2024-01-30	ok	day	2024	1	PRJNA1182239	NA	SAMN44583838	GCA_050978005	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583838	505	505	505	505	2023-08-01	2024-05-01	-687	-413	-182	92	China
CHN__SAMN44583839	CHN::SAMN44583839	CHN	China	2024-01-30	2024-01-30	2024-01-30	ok	day	2024	1	PRJNA1182239	NA	SAMN44583839	GCA_050977985	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583839	505	505	505	505	2023-08-01	2024-05-01	-687	-413	-182	92	China
CHN__SAMN44583840	CHN::SAMN44583840	CHN	China	2024-01-31	2024-01-31	2024-01-31	ok	day	2024	1	PRJNA1182239	NA	SAMN44583840	GCA_050977965	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583840	504	504	504	504	2023-08-01	2024-05-01	-687	-413	-183	91	China
CHN__SAMN44583843	CHN::SAMN44583843	CHN	China	2024-02-02	2024-02-02	2024-02-02	ok	day	2024	2	PRJNA1182239	NA	SAMN44583843	GCA_050977905	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583843	502	502	502	502	2023-08-01	2024-05-01	-687	-413	-185	89	China
CHN__SAMN44583845	CHN::SAMN44583845	CHN	China	2024-02-02	2024-02-02	2024-02-02	ok	day	2024	2	PRJNA1182239	NA	SAMN44583845	GCA_050977865	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583845	502	502	502	502	2023-08-01	2024-05-01	-687	-413	-185	89	China
CHN__SAMN44583846	CHN::SAMN44583846	CHN	China	2024-02-02	2024-02-02	2024-02-02	ok	day	2024	2	PRJNA1182239	NA	SAMN44583846	GCA_050977845	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583846	502	502	502	502	2023-08-01	2024-05-01	-687	-413	-185	89	China
CHN__SAMN44583859	CHN::SAMN44583859	CHN	China	2024-02-06	2024-02-06	2024-02-06	ok	day	2024	2	PRJNA1182239	NA	SAMN44583859	GCA_050977605	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583859	498	498	498	498	2023-08-01	2024-05-01	-687	-413	-189	85	China
CHN__SAMN44583863	CHN::SAMN44583863	CHN	China	2024-01-31	2024-01-31	2024-01-31	ok	day	2024	1	PRJNA1182239	NA	SAMN44583863	GCA_050977505	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583863	504	504	504	504	2023-08-01	2024-05-01	-687	-413	-183	91	China
CHN__SAMN44583865	CHN::SAMN44583865	CHN	China	2024-02-08	2024-02-08	2024-02-08	ok	day	2024	2	PRJNA1182239	NA	SAMN44583865	GCA_050977465	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583865	496	496	496	496	2023-08-01	2024-05-01	-687	-413	-191	83	China
CHN__SAMN44583870	CHN::SAMN44583870	CHN	China	2024-02-23	2024-02-23	2024-02-23	ok	day	2024	2	PRJNA1182239	NA	SAMN44583870	GCA_050977355	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583870	481	481	481	481	2023-08-01	2024-05-01	-687	-413	-206	68	China
CHN__SAMN44583871	CHN::SAMN44583871	CHN	China	2024-02-26	2024-02-26	2024-02-26	ok	day	2024	2	PRJNA1182239	NA	SAMN44583871	GCA_050977345	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583871	478	478	478	478	2023-08-01	2024-05-01	-687	-413	-209	65	China
CHN__SAMN44583872	CHN::SAMN44583872	CHN	China	2024-02-26	2024-02-26	2024-02-26	ok	day	2024	2	PRJNA1182239	NA	SAMN44583872	GCA_050977325	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583872	478	478	478	478	2023-08-01	2024-05-01	-687	-413	-209	65	China
CHN__SAMN44583886	CHN::SAMN44583886	CHN	China	2024-03-05	2024-03-05	2024-03-05	ok	day	2024	3	PRJNA1182239	NA	SAMN44583886	GCA_050977025	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583886	470	470	470	470	2023-08-01	2024-05-01	-687	-413	-217	57	China
CHN__SAMN44583912	CHN::SAMN44583912	CHN	China	2024-03-15	2024-03-15	2024-03-15	ok	day	2024	3	PRJNA1182239	NA	SAMN44583912	GCA_050976505	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583912	460	460	460	460	2023-08-01	2024-05-01	-687	-413	-227	47	China
CHN__SAMN44583924	CHN::SAMN44583924	CHN	China	2024-03-15	2024-03-15	2024-03-15	ok	day	2024	3	PRJNA1182239	NA	SAMN44583924	GCA_050976225	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583924	460	460	460	460	2023-08-01	2024-05-01	-687	-413	-227	47	China
CHN__SAMN44583927	CHN::SAMN44583927	CHN	China	2024-03-18	2024-03-18	2024-03-18	ok	day	2024	3	PRJNA1182239	NA	SAMN44583927	GCA_050976185	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583927	457	457	457	457	2023-08-01	2024-05-01	-687	-413	-230	44	China
CHN__SAMN44583945	CHN::SAMN44583945	CHN	China	2024-03-20	2024-03-20	2024-03-20	ok	day	2024	3	PRJNA1182239	NA	SAMN44583945	GCA_050975825	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583945	455	455	455	455	2023-08-01	2024-05-01	-687	-413	-232	42	China
CHN__SAMN44583946	CHN::SAMN44583946	CHN	China	2024-03-20	2024-03-20	2024-03-20	ok	day	2024	3	PRJNA1182239	NA	SAMN44583946	GCA_050975785	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583946	455	455	455	455	2023-08-01	2024-05-01	-687	-413	-232	42	China
CHN__SAMN44583959	CHN::SAMN44583959	CHN	China	2024-03-22	2024-03-22	2024-03-22	ok	day	2024	3	PRJNA1182239	NA	SAMN44583959	GCA_050975545	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583959	453	453	453	453	2023-08-01	2024-05-01	-687	-413	-234	40	China
CHN__SAMN44583972	CHN::SAMN44583972	CHN	China	2024-03-25	2024-03-25	2024-03-25	ok	day	2024	3	PRJNA1182239	NA	SAMN44583972	GCA_050975265	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583972	450	450	450	450	2023-08-01	2024-05-01	-687	-413	-237	37	China
CHN__SAMN44584005	CHN::SAMN44584005	CHN	China	2024-04-03	2024-04-03	2024-04-03	ok	day	2024	4	PRJNA1182239	NA	SAMN44584005	GCA_050974585	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584005	441	441	441	441	2023-08-01	2024-05-01	-687	-413	-246	28	China
CHN__SAMN44584012	CHN::SAMN44584012	CHN	China	2024-04-10	2024-04-10	2024-04-10	ok	day	2024	4	PRJNA1182239	NA	SAMN44584012	GCA_050974445	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584012	433	433	433	433	2023-08-01	2024-05-01	-686	-412	-253	21	China
CHN__SAMN44584022	CHN::SAMN44584022	CHN	China	2024-04-12	2024-04-12	2024-04-12	ok	day	2024	4	PRJNA1182239	NA	SAMN44584022	GCA_050974245	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584022	431	431	431	431	2023-08-01	2024-05-01	-686	-412	-255	19	China
CHN__SAMN44584026	CHN::SAMN44584026	CHN	China	2024-04-16	2024-04-16	2024-04-16	ok	day	2024	4	PRJNA1182239	NA	SAMN44584026	GCA_050974165	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584026	427	427	427	427	2023-08-01	2024-05-01	-686	-412	-259	15	China
CHN__SAMN44584033	CHN::SAMN44584033	CHN	China	2024-04-18	2024-04-18	2024-04-18	ok	day	2024	4	PRJNA1182239	NA	SAMN44584033	GCA_050974025	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584033	425	425	425	425	2023-08-01	2024-05-01	-686	-412	-261	13	China
CHN__SAMN44584039	CHN::SAMN44584039	CHN	China	2024-04-18	2024-04-18	2024-04-18	ok	day	2024	4	PRJNA1182239	NA	SAMN44584039	GCA_050973925	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584039	425	425	425	425	2023-08-01	2024-05-01	-686	-412	-261	13	China
CHN__SAMN44584040	CHN::SAMN44584040	CHN	China	2024-04-18	2024-04-18	2024-04-18	ok	day	2024	4	PRJNA1182239	NA	SAMN44584040	GCA_050973905	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584040	425	425	425	425	2023-08-01	2024-05-01	-686	-412	-261	13	China
CHN__SAMN44584044	CHN::SAMN44584044	CHN	China	2024-04-23	2024-04-23	2024-04-23	ok	day	2024	4	PRJNA1182239	NA	SAMN44584044	GCA_050973795	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584044	420	420	420	420	2023-08-01	2024-05-01	-686	-412	-266	8	China
CHN__SAMN44584067	CHN::SAMN44584067	CHN	China	2024-05-09	2024-05-09	2024-05-09	ok	day	2024	5	PRJNA1182239	NA	SAMN44584067	GCA_050973325	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584067	404	404	404	404	2023-08-01	2024-05-01	-686	-412	-282	-8	China
CHN__SAMN44584068	CHN::SAMN44584068	CHN	China	2024-05-09	2024-05-09	2024-05-09	ok	day	2024	5	PRJNA1182239	NA	SAMN44584068	GCA_050973305	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584068	404	404	404	404	2023-08-01	2024-05-01	-686	-412	-282	-8	China
CHN__SAMN44584073	CHN::SAMN44584073	CHN	China	2024-05-14	2024-05-14	2024-05-14	ok	day	2024	5	PRJNA1182239	NA	SAMN44584073	GCA_050973205	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584073	399	399	399	399	2023-08-01	2024-05-01	-686	-412	-287	-13	China
CHN__SAMN44584075	CHN::SAMN44584075	CHN	China	2024-05-16	2024-05-16	2024-05-16	ok	day	2024	5	PRJNA1182239	NA	SAMN44584075	GCA_050973165	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584075	397	397	397	397	2023-08-01	2024-05-01	-686	-412	-289	-15	China
CHN__SAMN44584082	CHN::SAMN44584082	CHN	China	2024-05-16	2024-05-16	2024-05-16	ok	day	2024	5	PRJNA1182239	NA	SAMN44584082	GCA_050973045	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-17	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-17	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44584082	397	397	397	397	2023-08-01	2024-05-01	-686	-412	-289	-15	China
