project_id	run_accession	sample_accession	collection_date	country	first_public	comparison_status	gapfill_success_n	gapfill_success_runs	qc_decision	qc_reason	checkm_completeness	checkm_contamination	nas_match_status
PRJNA1071282	SRR27796075	SAMN39683109	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796075					paper_comparison
PRJNA1071282	SRR27796076	SAMN39683108	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796077	SAMN39683107	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796078	SAMN39683106	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796078					paper_comparison
PRJNA1071282	SRR27796079	SAMN39683105	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796079					paper_comparison
PRJNA1071282	SRR27796080	SAMN39683104	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796081	SAMN39683103	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796081					paper_comparison
PRJNA1071282	SRR27796082	SAMN39682878	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0		pass	checkm_thresholds_passed	100.00	0.00	paper_comparison;raw_read_qc
PRJNA1071282	SRR27796083	SAMN39683102	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796083					paper_comparison
PRJNA1071282	SRR27796084	SAMN39683101	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796085	SAMN39683100	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796086	SAMN39683099	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796087	SAMN39683098	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796088	SAMN39683097	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796088					paper_comparison
PRJNA1071282	SRR27796089	SAMN39683096	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796090	SAMN39683095	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796091	SAMN39683094	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796092	SAMN39683093	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796093	SAMN39682877	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0		pass	checkm_thresholds_passed	100.00	0.00	paper_comparison;raw_read_qc
PRJNA1071282	SRR27796094	SAMN39683092	2022	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796094					paper_comparison
PRJNA1071282	SRR27796095	SAMN39683091	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796096	SAMN39683090	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796097	SAMN39683089	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796098	SAMN39683088	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
